resv_status,rn,adults,child,baby,room_type,id_client,oos,hk_Full_stay,checkout_year,checkout_month,checkout_day,checkout_day_name,hk_half_stay,total_HK
1,1,4,0,0,1,7704242,1,1,2021,10,23,7,0.0,1.0
1,11,2,0,0,0,6601830,1,2,2021,6,11,6,1.0,3.0
1,2,3,0,0,1,11354658,1,1,2022,8,13,7,0.0,1.0
1,10,2,0,0,0,9078236,1,2,2022,5,12,5,1.0,3.0
1,3,1,0,0,0,8547489,1,1,2022,2,6,1,0.0,1.0
1,1,1,2,0,2,11264706,1,1,2022,8,4,5,0.0,1.0
1,5,2,0,0,0,9640551,1,1,2022,7,1,6,0.5,1.5
1,2,3,2,0,2,10400986,1,1,2022,7,20,4,0.0,1.0
1,4,1,0,0,0,13816895,1,1,2023,4,5,4,0.5,1.5
1,1,3,0,0,1,7453747,1,1,2021,9,4,7,0.0,1.0
1,9,2,0,0,1,11727859,1,2,2022,11,1,3,1.0,3.0
1,2,2,0,0,0,9191503,1,1,2022,5,17,3,0.0,1.0
1,4,8,0,0,3,12928918,1,1,2023,1,30,2,0.5,1.5
1,9,2,0,0,0,14064953,1,2,2023,4,20,5,1.0,3.0
1,8,2,0,0,0,13421202,1,2,2023,5,15,2,1.0,3.0
1,3,1,0,0,0,9024255,1,1,2022,3,29,3,0.0,1.0
1,3,2,0,0,0,13349602,1,1,2023,7,4,3,0.0,1.0
1,2,2,0,0,0,10109071,1,1,2022,6,16,5,0.0,1.0
1,3,2,0,0,1,13052562,1,1,2023,1,6,6,0.0,1.0
1,6,4,0,0,1,14209185,1,1,2023,6,23,6,0.5,1.5
1,6,4,0,0,1,14208252,1,1,2023,6,23,6,0.5,1.5
1,6,4,0,0,1,14208252,1,1,2023,6,23,6,0.5,1.5
1,1,2,2,0,1,9410447,1,1,2022,8,19,6,0.0,1.0
1,2,1,1,0,0,11342861,1,1,2022,8,26,6,0.0,1.0
1,7,2,0,0,0,14901650,1,1,2023,6,11,1,0.5,1.5
1,6,4,0,0,1,14205321,1,1,2023,6,23,6,0.5,1.5
1,6,4,0,0,1,14205321,1,1,2023,6,23,6,0.5,1.5
1,3,2,0,0,0,13174537,1,1,2023,6,21,4,0.0,1.0
1,3,2,0,0,1,13939614,1,1,2023,3,13,2,0.0,1.0
